Person 1,Relationship,Person 2
http://linkedart.ascdc.tw/lod/Person/PR0498,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0496
http://linkedart.ascdc.tw/lod/Person/PR0011,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0179
http://linkedart.ascdc.tw/lod/Person/PR0335,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0294
http://linkedart.ascdc.tw/lod/Person/PR0200,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0203
http://linkedart.ascdc.tw/lod/Person/PR0010,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0092
http://linkedart.ascdc.tw/lod/Person/PR0210,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0420
http://linkedart.ascdc.tw/lod/Person/PR0469,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0473
http://linkedart.ascdc.tw/lod/Person/PR0159,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0009
http://linkedart.ascdc.tw/lod/Person/PR0115,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0007
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0009
http://linkedart.ascdc.tw/lod/Person/PR0041,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0433
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0161
http://linkedart.ascdc.tw/lod/Person/PR0084,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0041
http://linkedart.ascdc.tw/lod/Person/PR0274,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0210
http://linkedart.ascdc.tw/lod/Person/PR0409,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0058
http://linkedart.ascdc.tw/lod/Person/PR0117,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0011
http://linkedart.ascdc.tw/lod/Person/PR0087,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0012
http://linkedart.ascdc.tw/lod/Person/PR0059,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0297
http://linkedart.ascdc.tw/lod/Person/PR0079,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0495
http://linkedart.ascdc.tw/lod/Person/PR0084,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0389
http://linkedart.ascdc.tw/lod/Person/PR0068,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0041
http://linkedart.ascdc.tw/lod/Person/PR0008,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0151
http://linkedart.ascdc.tw/lod/Person/PR0197,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0198
http://linkedart.ascdc.tw/lod/Person/PR0124,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0121
http://linkedart.ascdc.tw/lod/Person/PR0011,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0182
http://linkedart.ascdc.tw/lod/Person/PR0004,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0184
http://linkedart.ascdc.tw/lod/Person/PR0110,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0101
http://linkedart.ascdc.tw/lod/Person/PR0451,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0211
http://linkedart.ascdc.tw/lod/Person/PR0358,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0059
http://linkedart.ascdc.tw/lod/Person/PR0014,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0118
http://linkedart.ascdc.tw/lod/Person/PR0008,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0090
http://linkedart.ascdc.tw/lod/Person/PR0084,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0422
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0041
http://linkedart.ascdc.tw/lod/Person/PR0210,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0307,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0093
http://linkedart.ascdc.tw/lod/Person/PR0203,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0197
http://linkedart.ascdc.tw/lod/Person/PR0407,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0058
http://linkedart.ascdc.tw/lod/Person/PR0439,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0209
http://linkedart.ascdc.tw/lod/Person/PR0120,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0205
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0007
http://linkedart.ascdc.tw/lod/Person/PR0211,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0450
http://linkedart.ascdc.tw/lod/Person/PR0209,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0441
http://linkedart.ascdc.tw/lod/Person/PR0490,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0064,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0009
http://linkedart.ascdc.tw/lod/Person/PR0201,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0112
http://linkedart.ascdc.tw/lod/Person/PR0115,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0122
http://linkedart.ascdc.tw/lod/Person/PR0011,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0049
http://linkedart.ascdc.tw/lod/Person/PR0190,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0105
http://linkedart.ascdc.tw/lod/Person/PR0290,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0093
http://linkedart.ascdc.tw/lod/Person/PR0081,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0008
http://linkedart.ascdc.tw/lod/Person/PR0491,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0079
http://linkedart.ascdc.tw/lod/Person/PR0041,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0084
http://linkedart.ascdc.tw/lod/Person/PR0483,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0480
http://linkedart.ascdc.tw/lod/Person/PR0095,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0448
http://linkedart.ascdc.tw/lod/Person/PR0250,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0006
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0112
http://linkedart.ascdc.tw/lod/Person/PR0195,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0014
http://linkedart.ascdc.tw/lod/Person/PR0191,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0015
http://linkedart.ascdc.tw/lod/Person/PR0203,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0015
http://linkedart.ascdc.tw/lod/Person/PR0115,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0119
http://linkedart.ascdc.tw/lod/Person/PR0469,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0093
http://linkedart.ascdc.tw/lod/Person/PR0007,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0058
http://linkedart.ascdc.tw/lod/Person/PR0001,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0095
http://linkedart.ascdc.tw/lod/Person/PR0483,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0059
http://linkedart.ascdc.tw/lod/Person/PR0015,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0005
http://linkedart.ascdc.tw/lod/Person/PR0011,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0117
http://linkedart.ascdc.tw/lod/Person/PR0058,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0412
http://linkedart.ascdc.tw/lod/Person/PR0211,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0457
http://linkedart.ascdc.tw/lod/Person/PR0496,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0498
http://linkedart.ascdc.tw/lod/Person/PR0433,http://vocab.getty.edu/ontology#ulan1511_child_of,http://linkedart.ascdc.tw/lod/Person/PR0041
http://linkedart.ascdc.tw/lod/Person/PR0013,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0094
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan1512_parent_of,http://linkedart.ascdc.tw/lod/Person/PR0165
http://linkedart.ascdc.tw/lod/Person/PR0005,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0048
http://linkedart.ascdc.tw/lod/Person/PR0437,http://vocab.getty.edu/ontology#ulan1541_spouse_of,http://linkedart.ascdc.tw/lod/Person/PR0436
http://linkedart.ascdc.tw/lod/Person/PR0009,http://vocab.getty.edu/ontology#ulan2550_friend_of,http://linkedart.ascdc.tw/lod/Person/PR0005
